node_id x y z rotation_angle_xaxis rotation_angle_yaxis rotation_angle_zaxis morphology model_processing model_name model_type
0 -9.701761129248673 6.914303623274667 0.4662557600030556 0.0 2.892897457357243 0.46568507135016235 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
1 -38.02940090319398 -27.358268984465504 -3.954540334427296 0.0 4.656152652750389 3.643027867193355 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
2 -27.735825130857236 -25.914483149774057 -11.741168032173565 0.0 0.3746445569216003 6.274462084512857 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
3 -22.455907350693607 -38.83615103296422 -28.434875271596884 0.0 4.194762781062356 2.66209776523793 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
4 -30.09717310726578 47.45483574065409 33.8650579055715 0.0 1.9898313294590757 0.7607129267391591 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
5 18.791943955057693 96.45653040666978 13.5765804876221 0.0 3.1653125979790313 4.913738900147833 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
6 -17.82908591657804 -31.593941342987307 -13.573409794551802 0.0 5.360739911971479 5.958594275914025 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
7 -0.3925451680711662 -48.92021236589442 49.845053890649524 0.0 0.8117598348377385 0.6177415874124194 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
8 9.764770446397456 -0.7184060890763924 17.703395121459888 0.0 1.326174195816385 1.1575789873048419 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
9 -5.234368919319231 85.78488200702569 3.7001587922840815 0.0 0.35641893896028587 2.3039207024725252 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
10 -24.353642129644182 107.41173124297293 29.493031559812948 0.0 1.1713408058678252 3.3967327252132784 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
11 -19.372219431379214 77.77711094412315 -32.75363245225832 0.0 5.0634665211899454 2.08791753228459 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
12 -36.46238368967508 -21.444065201965408 -16.868602058152725 0.0 4.340761626659757 0.6827251114047754 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
13 -14.369775296404288 25.531255250309826 14.647172152288679 0.0 4.5269599715366455 0.4652503405309461 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
14 28.458602333489292 97.93282905963625 10.139128242471 0.0 0.9167900931450766 1.6258840004856958 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
15 -44.984379064729 -51.8783497814124 6.746753771688861 0.0 4.6976039821655515 4.531783413432854 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
16 -19.564593050389668 -11.802310988477469 9.688265890273795 0.0 6.059293941162319 4.157386719774811 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
17 -2.7934127668566493 -28.981017025656662 -31.721326082129462 0.0 5.808739498098644 5.766688421760998 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
18 -0.17721900635286303 -62.61672770980722 -10.540462522596039 0.0 5.9582494401862665 3.986319161535264 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
19 -14.811137447007589 -49.24433102481541 -26.625090501797185 0.0 1.6534676644915849 1.0344955719253819 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
20 5.514503352231044 62.27236327246927 -22.862559948656205 0.0 0.4347170294150986 0.6560721703936307 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
21 23.143712278195512 3.879561672008971 5.63367828362553 0.0 4.451326165628737 4.756250266244001 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
22 -11.120338520365296 23.823287326695734 -2.7428855395068594 0.0 3.9392070840577436 5.21260404229293 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
23 0.25949416978625306 -46.139428426623674 9.3164878151374 0.0 1.0616012001402944 2.8240268400335906 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
24 -3.029862483156085 -26.59257599316925 -27.829727889449607 0.0 2.505132986364292 1.6142823054323479 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
25 33.2756020274903 66.00991135186334 -22.328261927443815 0.0 4.897830016956162 0.8922317984289421 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
26 42.73705937588699 -26.371083287863115 -20.370910418299253 0.0 5.7898539721821045 3.051327496929769 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
27 3.2105136462035326 11.784021525381974 -47.807179028746006 0.0 2.9189277751559572 2.567850727094217 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
28 5.944322825806334 84.284525255448 -18.792026438738986 0.0 1.742853477397121 2.941605035755346 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
29 -25.175784556972836 75.11486904371225 0.7868117206431203 0.0 6.0183839908568455 2.1129920599273477 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
30 40.716107876947476 -40.02635999370657 6.849202675699792 0.0 2.6185894398843947 0.30611149690327694 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
31 -19.044859374255136 -31.164001762892013 43.823564600319614 0.0 3.8428358218298193 1.0006986784544643 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
32 -42.38349475020762 70.41404724024008 11.804935332265122 0.0 0.6125715016084032 0.5678798559044165 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
33 2.980079046669012 17.492511393708234 40.005125811009016 0.0 3.4983074904288105 3.9399402095303615 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
34 -25.0067038782394 60.46319635354608 -40.28903899314315 0.0 0.9902853297408684 2.2239198785672927 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
35 -24.080035532951975 25.596616751843385 -27.862601398094032 0.0 2.5791401455461576 4.6887395906929425 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
36 -12.74532711070583 -24.54070689546669 -5.155664792713745 0.0 4.852973369144294 3.2593058214937245 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
37 -10.096548078142073 -65.32440717440625 -33.320838124667354 0.0 2.9356205453565587 3.258243744739503 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
38 18.19292186879435 105.06081502423196 19.072658122585363 0.0 4.7357640184952885 0.8895532649628466 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
39 8.187758290661588 -47.29092198542385 -47.04867998121801 0.0 4.63056231482527 1.8082320924810524 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
40 30.650100458683237 32.29689339248371 -12.27676209145866 0.0 0.8736249136869817 5.243538920741323 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
41 27.928591793321136 -79.71599249230782 29.216897608976716 0.0 0.06055222451686695 3.4014622883172096 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
42 -18.42814829885547 -16.53770247412861 40.32231299721226 0.0 3.8364213206863687 3.108026492559408 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
43 9.805954126942423 8.569986868115977 19.598406025285325 0.0 6.237590954555275 1.1169090564536195 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
44 1.5814614095045676 -70.46824057327788 -39.31928040925495 0.0 2.064394363367525 0.8358120017388927 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
45 27.683946988349355 77.57801615644475 -21.690350204843607 0.0 0.8588522305517974 2.656861312093626 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
46 24.07506774844477 -75.40715963531169 16.66915197198467 0.0 0.6353837017901897 5.6711971675837125 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
47 7.469649907734404 55.26262563954189 -11.3054466454322 0.0 2.109749982442598 2.4897835656157556 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
48 -2.9459125187051196 -24.829412411889685 39.74887674875407 0.0 2.3201461133135433 2.7655631562774508 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
49 -18.60807153369838 103.79354126585311 38.94818701894241 0.0 4.769095217335785 6.282674637347446 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
50 -39.98867635670559 3.7540160116016708 0.32594267512705655 0.0 0.24406891914866571 1.4010098099192376 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
51 35.19856287899002 -61.9937376937762 10.816241244213055 0.0 4.3178178248778645 6.139999857043689 components/morphologies/Scnn1a_473845048_m.swc aibs_perisomatic Scnn1a biophysical
